Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,S02590
ID Dispositivo:,,Stn3
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
12/20/2022,7:27:47 AM,20
12/20/2022,7:42:47 AM,20
12/20/2022,7:57:47 AM,20
12/20/2022,8:12:47 AM,20
12/20/2022,8:27:47 AM,20
12/20/2022,8:42:47 AM,20
12/20/2022,8:57:47 AM,20
12/20/2022,9:12:47 AM,20
12/20/2022,9:27:47 AM,20
12/20/2022,9:42:47 AM,20
12/20/2022,9:57:47 AM,20
12/20/2022,10:12:47 AM,20
12/20/2022,10:27:47 AM,20
12/20/2022,10:42:47 AM,20
12/20/2022,10:57:47 AM,20
12/20/2022,11:12:47 AM,20
12/20/2022,11:27:47 AM,20
12/20/2022,11:42:47 AM,20
12/20/2022,11:57:47 AM,20
12/20/2022,12:12:47 PM,20
12/20/2022,12:27:47 PM,20
12/20/2022,12:42:47 PM,20
12/20/2022,12:57:47 PM,20
12/20/2022,1:12:47 PM,20
12/20/2022,1:27:47 PM,20
12/20/2022,1:42:47 PM,20
12/20/2022,1:57:47 PM,20
12/20/2022,2:12:47 PM,20
12/20/2022,2:27:47 PM,20
12/20/2022,2:42:47 PM,20
12/20/2022,2:57:47 PM,15
12/20/2022,3:12:47 PM,20
12/20/2022,3:27:47 PM,20
12/20/2022,3:42:47 PM,20
12/20/2022,3:57:47 PM,20
12/20/2022,4:12:47 PM,20
12/20/2022,4:27:47 PM,20
12/20/2022,4:42:47 PM,20
12/20/2022,4:57:47 PM,20
12/20/2022,5:12:47 PM,20
12/20/2022,5:27:47 PM,20
12/20/2022,5:42:47 PM,20
12/20/2022,5:57:47 PM,20
12/20/2022,6:12:47 PM,20
12/20/2022,6:27:47 PM,20
12/20/2022,6:42:47 PM,20
12/20/2022,6:57:47 PM,20
12/20/2022,7:12:47 PM,20
12/20/2022,7:27:47 PM,20
12/20/2022,7:42:47 PM,20
12/20/2022,7:57:47 PM,20
12/20/2022,8:12:47 PM,20
12/20/2022,8:27:47 PM,20
12/20/2022,8:42:47 PM,20
12/20/2022,8:57:47 PM,20
12/20/2022,9:12:47 PM,20
12/20/2022,9:27:47 PM,20
12/20/2022,9:42:47 PM,20
12/20/2022,9:57:47 PM,20
12/20/2022,10:12:47 PM,20
12/20/2022,10:27:47 PM,20
12/20/2022,10:42:47 PM,20
12/20/2022,10:57:47 PM,20
12/20/2022,11:12:47 PM,20
12/20/2022,11:27:47 PM,20
12/20/2022,11:42:47 PM,20
12/20/2022,11:57:47 PM,20
12/21/2022,12:12:47 AM,20
12/21/2022,12:27:47 AM,20
12/21/2022,12:42:47 AM,20
12/21/2022,12:57:47 AM,20
12/21/2022,1:12:47 AM,20
12/21/2022,1:27:47 AM,20
12/21/2022,1:42:47 AM,20
12/21/2022,1:57:47 AM,20
12/21/2022,2:12:47 AM,20
12/21/2022,2:27:47 AM,20
12/21/2022,2:42:47 AM,20
12/21/2022,2:57:47 AM,20
12/21/2022,3:12:47 AM,20
12/21/2022,3:27:47 AM,20
12/21/2022,3:42:47 AM,20
12/21/2022,3:57:47 AM,20
12/21/2022,4:12:47 AM,20
12/21/2022,4:27:47 AM,20
12/21/2022,4:42:47 AM,20
12/21/2022,4:57:47 AM,20
12/21/2022,5:12:47 AM,20
12/21/2022,5:27:47 AM,20
12/21/2022,5:42:47 AM,20
12/21/2022,5:57:47 AM,20
12/21/2022,6:12:47 AM,20
12/21/2022,6:27:47 AM,15
12/21/2022,6:42:47 AM,20
12/21/2022,6:57:47 AM,20
12/21/2022,7:12:47 AM,20
12/21/2022,7:27:47 AM,20
12/21/2022,7:42:47 AM,20
12/21/2022,7:57:47 AM,20
12/21/2022,8:12:47 AM,20
12/21/2022,8:27:47 AM,20
12/21/2022,8:42:47 AM,20
12/21/2022,8:57:47 AM,20
12/21/2022,9:12:47 AM,20
12/21/2022,9:27:47 AM,20
12/21/2022,9:42:47 AM,20
12/21/2022,9:57:47 AM,20
12/21/2022,10:12:47 AM,20
12/21/2022,10:27:47 AM,20
12/21/2022,10:42:47 AM,20
12/21/2022,10:57:47 AM,20
12/21/2022,11:12:47 AM,20
12/21/2022,11:27:47 AM,20
12/21/2022,11:42:47 AM,20
12/21/2022,11:57:47 AM,20
12/21/2022,12:12:47 PM,20
12/21/2022,12:27:47 PM,20
12/21/2022,12:42:47 PM,20
12/21/2022,12:57:47 PM,20
12/21/2022,1:12:47 PM,20
12/21/2022,1:27:47 PM,20
12/21/2022,1:42:47 PM,20
12/21/2022,1:57:47 PM,20
12/21/2022,2:12:47 PM,20
12/21/2022,2:27:47 PM,20
12/21/2022,2:42:47 PM,20
12/21/2022,2:57:47 PM,20
12/21/2022,3:12:47 PM,20
12/21/2022,3:27:47 PM,20
12/21/2022,3:42:47 PM,20
12/21/2022,3:57:47 PM,20
12/21/2022,4:12:47 PM,20
12/21/2022,4:27:47 PM,20
12/21/2022,4:42:47 PM,20
12/21/2022,4:57:47 PM,20
12/21/2022,5:12:47 PM,20
12/21/2022,5:27:47 PM,20
12/21/2022,5:42:47 PM,20
12/21/2022,5:57:47 PM,20
12/21/2022,6:12:47 PM,20
12/21/2022,6:27:47 PM,20
12/21/2022,6:42:47 PM,20
12/21/2022,6:57:47 PM,20
12/21/2022,7:12:47 PM,20
12/21/2022,7:27:47 PM,20
12/21/2022,7:42:47 PM,20
12/21/2022,7:57:47 PM,20
12/21/2022,8:12:47 PM,20
12/21/2022,8:27:47 PM,20
12/21/2022,8:42:47 PM,20
12/21/2022,8:57:47 PM,20
12/21/2022,9:12:47 PM,20
12/21/2022,9:27:47 PM,20
12/21/2022,9:42:47 PM,20
12/21/2022,9:57:47 PM,20
12/21/2022,10:12:47 PM,20
12/21/2022,10:27:47 PM,20
12/21/2022,10:42:47 PM,20
12/21/2022,10:57:47 PM,20
12/21/2022,11:12:47 PM,20
12/21/2022,11:27:47 PM,20
12/21/2022,11:42:47 PM,20
12/21/2022,11:57:47 PM,20
12/22/2022,12:12:47 AM,20
12/22/2022,12:27:47 AM,20
12/22/2022,12:42:47 AM,20
12/22/2022,12:57:47 AM,20
12/22/2022,1:12:47 AM,20
12/22/2022,1:27:47 AM,20
12/22/2022,1:42:47 AM,20
12/22/2022,1:57:47 AM,20
12/22/2022,2:12:47 AM,20
12/22/2022,2:27:47 AM,20
12/22/2022,2:42:47 AM,20
12/22/2022,2:57:47 AM,20
12/22/2022,3:12:47 AM,20
12/22/2022,3:27:47 AM,20
12/22/2022,3:42:47 AM,20
12/22/2022,3:57:47 AM,20
12/22/2022,4:12:47 AM,20
12/22/2022,4:27:47 AM,20
12/22/2022,4:42:47 AM,20
12/22/2022,4:57:47 AM,20
12/22/2022,5:12:47 AM,20
12/22/2022,5:27:47 AM,20
12/22/2022,5:42:47 AM,20
12/22/2022,5:57:47 AM,20
12/22/2022,6:12:47 AM,20
12/22/2022,6:27:47 AM,20
12/22/2022,6:42:47 AM,20
12/22/2022,6:57:47 AM,20
12/22/2022,7:12:47 AM,20
12/22/2022,7:27:47 AM,20
12/22/2022,7:42:47 AM,20
12/22/2022,7:57:47 AM,20
12/22/2022,8:12:47 AM,20
12/22/2022,8:27:47 AM,20
12/22/2022,8:42:47 AM,20
12/22/2022,8:57:47 AM,20
12/22/2022,9:12:47 AM,20
12/22/2022,9:27:47 AM,20
12/22/2022,9:42:47 AM,20
12/22/2022,9:57:47 AM,20
12/22/2022,10:12:47 AM,20
12/22/2022,10:27:47 AM,20
12/22/2022,10:42:47 AM,20
12/22/2022,10:57:47 AM,20
12/22/2022,11:12:47 AM,20
12/22/2022,11:27:47 AM,20
12/22/2022,11:42:47 AM,20
12/22/2022,11:57:47 AM,20
12/22/2022,12:12:47 PM,20
12/22/2022,12:27:47 PM,20
12/22/2022,12:42:47 PM,20
12/22/2022,12:57:47 PM,20
12/22/2022,1:12:47 PM,20
12/22/2022,1:27:47 PM,20
12/22/2022,1:42:47 PM,20
12/22/2022,1:57:47 PM,20
12/22/2022,2:12:47 PM,20
12/22/2022,2:27:47 PM,20
12/22/2022,2:42:47 PM,20
12/22/2022,2:57:47 PM,20
12/22/2022,3:12:47 PM,20
12/22/2022,3:27:47 PM,20
12/22/2022,3:42:47 PM,20
12/22/2022,3:57:47 PM,20
12/22/2022,4:12:47 PM,20
12/22/2022,4:27:47 PM,20
12/22/2022,4:42:47 PM,20
12/22/2022,4:57:47 PM,20
12/22/2022,5:12:47 PM,20
12/22/2022,5:27:47 PM,20
12/22/2022,5:42:47 PM,20
12/22/2022,5:57:47 PM,20
12/22/2022,6:12:47 PM,20
12/22/2022,6:27:47 PM,20
12/22/2022,6:42:47 PM,20
12/22/2022,6:57:47 PM,20
12/22/2022,7:12:47 PM,20
12/22/2022,7:27:47 PM,20
12/22/2022,7:42:47 PM,20
12/22/2022,7:57:47 PM,20
12/22/2022,8:12:47 PM,20
12/22/2022,8:27:47 PM,20
12/22/2022,8:42:47 PM,20
12/22/2022,8:57:47 PM,20
12/22/2022,9:12:47 PM,20
12/22/2022,9:27:47 PM,20
12/22/2022,9:42:47 PM,20
12/22/2022,9:57:47 PM,20
12/22/2022,10:12:47 PM,20
12/22/2022,10:27:47 PM,20
12/22/2022,10:42:47 PM,20
12/22/2022,10:57:47 PM,20
12/22/2022,11:12:47 PM,20
12/22/2022,11:27:47 PM,20
12/22/2022,11:42:47 PM,20
12/22/2022,11:57:47 PM,20
12/23/2022,12:12:47 AM,20
12/23/2022,12:27:47 AM,20
12/23/2022,12:42:47 AM,20
12/23/2022,12:57:47 AM,20
12/23/2022,1:12:47 AM,20
12/23/2022,1:27:47 AM,20
12/23/2022,1:42:47 AM,20
12/23/2022,1:57:47 AM,20
12/23/2022,2:12:47 AM,20
12/23/2022,2:27:47 AM,20
12/23/2022,2:42:47 AM,20
12/23/2022,2:57:47 AM,20
12/23/2022,3:12:47 AM,20
12/23/2022,3:27:47 AM,20
12/23/2022,3:42:47 AM,20
12/23/2022,3:57:47 AM,20
12/23/2022,4:12:47 AM,20
12/23/2022,4:27:47 AM,20
12/23/2022,4:42:47 AM,20
12/23/2022,4:57:47 AM,20
12/23/2022,5:12:47 AM,20
12/23/2022,5:27:47 AM,20
12/23/2022,5:42:47 AM,20
12/23/2022,5:57:47 AM,20
12/23/2022,6:12:47 AM,20
12/23/2022,6:27:47 AM,20
12/23/2022,6:42:47 AM,20
12/23/2022,6:57:47 AM,20
12/23/2022,7:12:47 AM,20
12/23/2022,7:27:47 AM,20
12/23/2022,7:42:47 AM,20
12/23/2022,7:57:47 AM,20
12/23/2022,8:12:47 AM,20
12/23/2022,8:27:47 AM,20
12/23/2022,8:42:47 AM,20
12/23/2022,8:57:47 AM,20
12/23/2022,9:12:47 AM,20
12/23/2022,9:27:47 AM,20
12/23/2022,9:42:47 AM,20
12/23/2022,9:57:47 AM,20
12/23/2022,10:12:47 AM,20
12/23/2022,10:27:47 AM,20
12/23/2022,10:42:47 AM,20
12/23/2022,10:57:47 AM,20
12/23/2022,11:12:47 AM,20
12/23/2022,11:27:47 AM,20
12/23/2022,11:42:47 AM,20
12/23/2022,11:57:47 AM,20
12/23/2022,12:12:47 PM,20
12/23/2022,12:27:47 PM,20
12/23/2022,12:42:47 PM,20
12/23/2022,12:57:47 PM,20
12/23/2022,1:12:47 PM,20
12/23/2022,1:27:47 PM,20
12/23/2022,1:42:47 PM,20
12/23/2022,1:57:47 PM,20
12/23/2022,2:12:47 PM,20
12/23/2022,2:27:47 PM,20
12/23/2022,2:42:47 PM,20
12/23/2022,2:57:47 PM,20
12/23/2022,3:12:47 PM,20
12/23/2022,3:27:47 PM,20
12/23/2022,3:42:47 PM,20
12/23/2022,3:57:47 PM,20
12/23/2022,4:12:47 PM,20
12/23/2022,4:27:47 PM,20
12/23/2022,4:42:47 PM,20
12/23/2022,4:57:47 PM,20
12/23/2022,5:12:47 PM,20
12/23/2022,5:27:47 PM,20
12/23/2022,5:42:47 PM,20
12/23/2022,5:57:47 PM,20
12/23/2022,6:12:47 PM,20
12/23/2022,6:27:47 PM,20
12/23/2022,6:42:47 PM,20
12/23/2022,6:57:47 PM,20
12/23/2022,7:12:47 PM,20
12/23/2022,7:27:47 PM,20
12/23/2022,7:42:47 PM,20
12/23/2022,7:57:47 PM,20
12/23/2022,8:12:47 PM,20
12/23/2022,8:27:47 PM,20
12/23/2022,8:42:47 PM,20
12/23/2022,8:57:47 PM,20
12/23/2022,9:12:47 PM,20
12/23/2022,9:27:47 PM,20
12/23/2022,9:42:47 PM,20
12/23/2022,9:57:47 PM,20
12/23/2022,10:12:47 PM,20
12/23/2022,10:27:47 PM,20
12/23/2022,10:42:47 PM,20
12/23/2022,10:57:47 PM,20
12/23/2022,11:12:47 PM,20
12/23/2022,11:27:47 PM,20
12/23/2022,11:42:47 PM,20
12/23/2022,11:57:47 PM,20
12/24/2022,12:12:47 AM,20
12/24/2022,12:27:47 AM,20
12/24/2022,12:42:47 AM,20
12/24/2022,12:57:47 AM,20
12/24/2022,1:12:47 AM,20
12/24/2022,1:27:47 AM,20
12/24/2022,1:42:47 AM,20
12/24/2022,1:57:47 AM,20
12/24/2022,2:12:47 AM,20
12/24/2022,2:27:47 AM,20
12/24/2022,2:42:47 AM,20
12/24/2022,2:57:47 AM,20
12/24/2022,3:12:47 AM,20
12/24/2022,3:27:47 AM,20
12/24/2022,3:42:47 AM,20
12/24/2022,3:57:47 AM,20
12/24/2022,4:12:47 AM,20
12/24/2022,4:27:47 AM,20
12/24/2022,4:42:47 AM,20
12/24/2022,4:57:47 AM,20
12/24/2022,5:12:47 AM,20
12/24/2022,5:27:47 AM,20
12/24/2022,5:42:47 AM,20
12/24/2022,5:57:47 AM,20
12/24/2022,6:12:47 AM,20
12/24/2022,6:27:47 AM,20
12/24/2022,6:42:47 AM,20
12/24/2022,6:57:47 AM,20
12/24/2022,7:12:47 AM,20
12/24/2022,7:27:47 AM,20
12/24/2022,7:42:47 AM,20
12/24/2022,7:57:47 AM,20
12/24/2022,8:12:47 AM,20
12/24/2022,8:27:47 AM,20
12/24/2022,8:42:47 AM,20
12/24/2022,8:57:47 AM,20
12/24/2022,9:12:47 AM,20
12/24/2022,9:27:47 AM,20
12/24/2022,9:42:47 AM,20
12/24/2022,9:57:47 AM,20
12/24/2022,10:12:47 AM,20
12/24/2022,10:27:47 AM,20
12/24/2022,10:42:47 AM,20
12/24/2022,10:57:47 AM,20
12/24/2022,11:12:47 AM,20
12/24/2022,11:27:47 AM,20
12/24/2022,11:42:47 AM,20
12/24/2022,11:57:47 AM,20
12/24/2022,12:12:47 PM,20
12/24/2022,12:27:47 PM,20
12/24/2022,12:42:47 PM,20
12/24/2022,12:57:47 PM,20
12/24/2022,1:12:47 PM,20
12/24/2022,1:27:47 PM,20
12/24/2022,1:42:47 PM,20
12/24/2022,1:57:47 PM,20
12/24/2022,2:12:47 PM,20
12/24/2022,2:27:47 PM,20
12/24/2022,2:42:47 PM,20
12/24/2022,2:57:47 PM,20
12/24/2022,3:12:47 PM,20
12/24/2022,3:27:47 PM,20
12/24/2022,3:42:47 PM,20
12/24/2022,3:57:47 PM,20
12/24/2022,4:12:47 PM,20
12/24/2022,4:27:47 PM,20
12/24/2022,4:42:47 PM,20
12/24/2022,4:57:47 PM,20
12/24/2022,5:12:47 PM,20
12/24/2022,5:27:47 PM,20
12/24/2022,5:42:47 PM,20
12/24/2022,5:57:47 PM,20
12/24/2022,6:12:47 PM,20
12/24/2022,6:27:47 PM,20
12/24/2022,6:42:47 PM,20
12/24/2022,6:57:47 PM,20
12/24/2022,7:12:47 PM,20
12/24/2022,7:27:47 PM,20
12/24/2022,7:42:47 PM,20
12/24/2022,7:57:47 PM,20
12/24/2022,8:12:47 PM,20
12/24/2022,8:27:47 PM,20
12/24/2022,8:42:47 PM,20
12/24/2022,8:57:47 PM,20
12/24/2022,9:12:47 PM,20
12/24/2022,9:27:47 PM,20
12/24/2022,9:42:47 PM,20
12/24/2022,9:57:47 PM,20
12/24/2022,10:12:47 PM,20
12/24/2022,10:27:47 PM,20
12/24/2022,10:42:47 PM,20
12/24/2022,10:57:47 PM,20
12/24/2022,11:12:47 PM,20
12/24/2022,11:27:47 PM,20
12/24/2022,11:42:47 PM,20
12/24/2022,11:57:47 PM,20
12/25/2022,12:12:47 AM,20
12/25/2022,12:27:47 AM,20
12/25/2022,12:42:47 AM,20
12/25/2022,12:57:47 AM,20
12/25/2022,1:12:47 AM,20
12/25/2022,1:27:47 AM,20
12/25/2022,1:42:47 AM,20
12/25/2022,1:57:47 AM,20
12/25/2022,2:12:47 AM,20
12/25/2022,2:27:47 AM,20
12/25/2022,2:42:47 AM,20
12/25/2022,2:57:47 AM,20
12/25/2022,3:12:47 AM,20
12/25/2022,3:27:47 AM,20
12/25/2022,3:42:47 AM,20
12/25/2022,3:57:47 AM,20
12/25/2022,4:12:47 AM,20
12/25/2022,4:27:47 AM,20
12/25/2022,4:42:47 AM,20
12/25/2022,4:57:47 AM,20
12/25/2022,5:12:47 AM,20
12/25/2022,5:27:47 AM,20
12/25/2022,5:42:47 AM,20
12/25/2022,5:57:47 AM,20
12/25/2022,6:12:47 AM,20
12/25/2022,6:27:47 AM,20
12/25/2022,6:42:47 AM,20
12/25/2022,6:57:47 AM,20
12/25/2022,7:12:47 AM,20
12/25/2022,7:27:47 AM,20
12/25/2022,7:42:47 AM,20
12/25/2022,7:57:47 AM,20
12/25/2022,8:12:47 AM,20
12/25/2022,8:27:47 AM,20
12/25/2022,8:42:47 AM,20
12/25/2022,8:57:47 AM,20
12/25/2022,9:12:47 AM,20
12/25/2022,9:27:47 AM,20
12/25/2022,9:42:47 AM,20
12/25/2022,9:57:47 AM,20
12/25/2022,10:12:47 AM,20
12/25/2022,10:27:47 AM,20
12/25/2022,10:42:47 AM,20
12/25/2022,10:57:47 AM,20
12/25/2022,11:12:47 AM,20
12/25/2022,11:27:47 AM,20
12/25/2022,11:42:47 AM,20
12/25/2022,11:57:47 AM,20
12/25/2022,12:12:47 PM,20
12/25/2022,12:27:47 PM,20
12/25/2022,12:42:47 PM,20
12/25/2022,12:57:47 PM,20
12/25/2022,1:12:47 PM,20
12/25/2022,1:27:47 PM,20
12/25/2022,1:42:47 PM,20
12/25/2022,1:57:47 PM,20
12/25/2022,2:12:47 PM,20
12/25/2022,2:27:47 PM,20
12/25/2022,2:42:47 PM,20
12/25/2022,2:57:47 PM,20
12/25/2022,3:12:47 PM,20
12/25/2022,3:27:47 PM,20
12/25/2022,3:42:47 PM,20
12/25/2022,3:57:47 PM,20
12/25/2022,4:12:47 PM,20
12/25/2022,4:27:47 PM,20
12/25/2022,4:42:47 PM,20
12/25/2022,4:57:47 PM,20
12/25/2022,5:12:47 PM,20
12/25/2022,5:27:47 PM,20
12/25/2022,5:42:47 PM,20
12/25/2022,5:57:47 PM,20
12/25/2022,6:12:47 PM,20
12/25/2022,6:27:47 PM,20
12/25/2022,6:42:47 PM,20
12/25/2022,6:57:47 PM,20
12/25/2022,7:12:47 PM,20
12/25/2022,7:27:47 PM,20
12/25/2022,7:42:47 PM,20
12/25/2022,7:57:47 PM,20
12/25/2022,8:12:47 PM,20
12/25/2022,8:27:47 PM,20
12/25/2022,8:42:47 PM,20
12/25/2022,8:57:47 PM,20
12/25/2022,9:12:47 PM,20
12/25/2022,9:27:47 PM,20
12/25/2022,9:42:47 PM,20
12/25/2022,9:57:47 PM,20
12/25/2022,10:12:47 PM,20
12/25/2022,10:27:47 PM,20
12/25/2022,10:42:47 PM,20
12/25/2022,10:57:47 PM,20
12/25/2022,11:12:47 PM,20
12/25/2022,11:27:47 PM,20
12/25/2022,11:42:47 PM,20
12/25/2022,11:57:47 PM,20
12/26/2022,12:12:47 AM,20
12/26/2022,12:27:47 AM,20
12/26/2022,12:42:47 AM,20
12/26/2022,12:57:47 AM,20
12/26/2022,1:12:47 AM,20
12/26/2022,1:27:47 AM,20
12/26/2022,1:42:47 AM,20
12/26/2022,1:57:47 AM,20
12/26/2022,2:12:47 AM,20
12/26/2022,2:27:47 AM,20
12/26/2022,2:42:47 AM,20
12/26/2022,2:57:47 AM,20
12/26/2022,3:12:47 AM,20
12/26/2022,3:27:47 AM,20
12/26/2022,3:42:47 AM,20
12/26/2022,3:57:47 AM,20
12/26/2022,4:12:47 AM,20
12/26/2022,4:27:47 AM,20
12/26/2022,4:42:47 AM,20
12/26/2022,4:57:47 AM,20
12/26/2022,5:12:47 AM,20
12/26/2022,5:27:47 AM,20
12/26/2022,5:42:47 AM,20
12/26/2022,5:57:47 AM,20
12/26/2022,6:12:47 AM,20
12/26/2022,6:27:47 AM,20
12/26/2022,6:42:47 AM,20
12/26/2022,6:57:47 AM,20
12/26/2022,7:12:47 AM,20
12/26/2022,7:27:47 AM,20
12/26/2022,7:42:47 AM,20
12/26/2022,7:57:47 AM,20
12/26/2022,8:12:47 AM,20
12/26/2022,8:27:47 AM,20
12/26/2022,8:42:47 AM,20
12/26/2022,8:57:47 AM,20
12/26/2022,9:12:47 AM,20
12/26/2022,9:27:47 AM,20
12/26/2022,9:42:47 AM,20
12/26/2022,9:57:47 AM,20
12/26/2022,10:12:47 AM,20
12/26/2022,10:27:47 AM,20
12/26/2022,10:42:47 AM,20
12/26/2022,10:57:47 AM,20
12/26/2022,11:12:47 AM,20
12/26/2022,11:27:47 AM,20
12/26/2022,11:42:47 AM,20
12/26/2022,11:57:47 AM,20
12/26/2022,12:12:47 PM,20
12/26/2022,12:27:47 PM,20
12/26/2022,12:42:47 PM,20
12/26/2022,12:57:47 PM,20
12/26/2022,1:12:47 PM,20
12/26/2022,1:27:47 PM,20
12/26/2022,1:42:47 PM,20
12/26/2022,1:57:47 PM,20
12/26/2022,2:12:47 PM,20
12/26/2022,2:27:47 PM,20
12/26/2022,2:42:47 PM,20
12/26/2022,2:57:47 PM,20
12/26/2022,3:12:47 PM,20
12/26/2022,3:27:47 PM,20
12/26/2022,3:42:47 PM,20
12/26/2022,3:57:47 PM,20
12/26/2022,4:12:47 PM,20
12/26/2022,4:27:47 PM,20
12/26/2022,4:42:47 PM,20
12/26/2022,4:57:47 PM,20
12/26/2022,5:12:47 PM,20
12/26/2022,5:27:47 PM,20
12/26/2022,5:42:47 PM,20
12/26/2022,5:57:47 PM,20
12/26/2022,6:12:47 PM,20
12/26/2022,6:27:47 PM,20
12/26/2022,6:42:47 PM,20
12/26/2022,6:57:47 PM,20
12/26/2022,7:12:47 PM,20
12/26/2022,7:27:47 PM,20
12/26/2022,7:42:47 PM,20
12/26/2022,7:57:47 PM,20
12/26/2022,8:12:47 PM,20
12/26/2022,8:27:47 PM,20
12/26/2022,8:42:47 PM,20
12/26/2022,8:57:47 PM,20
12/26/2022,9:12:47 PM,20
12/26/2022,9:27:47 PM,20
12/26/2022,9:42:47 PM,20
12/26/2022,9:57:47 PM,20
12/26/2022,10:12:47 PM,20
12/26/2022,10:27:47 PM,20
12/26/2022,10:42:47 PM,20
12/26/2022,10:57:47 PM,20
12/26/2022,11:12:47 PM,20
12/26/2022,11:27:47 PM,20
12/26/2022,11:42:47 PM,20
12/26/2022,11:57:47 PM,20
12/27/2022,12:12:47 AM,20
12/27/2022,12:27:47 AM,20
12/27/2022,12:42:47 AM,20
12/27/2022,12:57:47 AM,20
12/27/2022,1:12:47 AM,20
12/27/2022,1:27:47 AM,20
12/27/2022,1:42:47 AM,20
12/27/2022,1:57:47 AM,20
12/27/2022,2:12:47 AM,20
12/27/2022,2:27:47 AM,20
12/27/2022,2:42:47 AM,20
12/27/2022,2:57:47 AM,20
12/27/2022,3:12:47 AM,20
12/27/2022,3:27:47 AM,20
12/27/2022,3:42:47 AM,20
12/27/2022,3:57:47 AM,20
12/27/2022,4:12:47 AM,20
12/27/2022,4:27:47 AM,20
12/27/2022,4:42:47 AM,20
12/27/2022,4:57:47 AM,20
12/27/2022,5:12:47 AM,20
12/27/2022,5:27:47 AM,20
12/27/2022,5:42:47 AM,20
12/27/2022,5:57:47 AM,20
12/27/2022,6:12:47 AM,20
12/27/2022,6:27:47 AM,20
12/27/2022,6:42:47 AM,20
12/27/2022,6:57:47 AM,20
12/27/2022,7:12:47 AM,20
12/27/2022,7:27:47 AM,20
12/27/2022,7:42:47 AM,20
12/27/2022,7:57:47 AM,20
12/27/2022,8:12:47 AM,20
12/27/2022,8:27:47 AM,20
12/27/2022,8:42:47 AM,20
12/27/2022,8:57:47 AM,20
12/27/2022,9:12:47 AM,20
12/27/2022,9:27:47 AM,20
12/27/2022,9:42:47 AM,20
12/27/2022,9:57:47 AM,20
12/27/2022,10:12:47 AM,20
12/27/2022,10:27:47 AM,20
12/27/2022,10:42:47 AM,20
12/27/2022,10:57:47 AM,20
12/27/2022,11:12:47 AM,20
12/27/2022,11:27:47 AM,20
12/27/2022,11:42:47 AM,20
12/27/2022,11:57:47 AM,20
12/27/2022,12:12:47 PM,20
12/27/2022,12:27:47 PM,20
12/27/2022,12:42:47 PM,20
12/27/2022,12:57:47 PM,20
12/27/2022,1:12:47 PM,20
12/27/2022,1:27:47 PM,20
12/27/2022,1:42:47 PM,20
12/27/2022,1:57:47 PM,20
12/27/2022,2:12:47 PM,20
12/27/2022,2:27:47 PM,20
12/27/2022,2:42:47 PM,20
12/27/2022,2:57:47 PM,20
12/27/2022,3:12:47 PM,20
12/27/2022,3:27:47 PM,20
12/27/2022,3:42:47 PM,20
12/27/2022,3:57:47 PM,20
12/27/2022,4:12:47 PM,20
12/27/2022,4:27:47 PM,20
12/27/2022,4:42:47 PM,20
12/27/2022,4:57:47 PM,20
12/27/2022,5:12:47 PM,20
12/27/2022,5:27:47 PM,20
12/27/2022,5:42:47 PM,20
12/27/2022,5:57:47 PM,20
12/27/2022,6:12:47 PM,20
12/27/2022,6:27:47 PM,20
12/27/2022,6:42:47 PM,20
12/27/2022,6:57:47 PM,20
12/27/2022,7:12:47 PM,20
12/27/2022,7:27:47 PM,20
12/27/2022,7:42:47 PM,20
12/27/2022,7:57:47 PM,20
12/27/2022,8:12:47 PM,20
12/27/2022,8:27:47 PM,20
12/27/2022,8:42:47 PM,20
12/27/2022,8:57:47 PM,20
12/27/2022,9:12:47 PM,20
12/27/2022,9:27:47 PM,20
12/27/2022,9:42:47 PM,20
12/27/2022,9:57:47 PM,20
12/27/2022,10:12:47 PM,20
12/27/2022,10:27:47 PM,20
12/27/2022,10:42:47 PM,20
12/27/2022,10:57:47 PM,20
12/27/2022,11:12:47 PM,20
12/27/2022,11:27:47 PM,20
12/27/2022,11:42:47 PM,20
12/27/2022,11:57:47 PM,20
12/28/2022,12:12:47 AM,20
12/28/2022,12:27:47 AM,20
12/28/2022,12:42:47 AM,20
12/28/2022,12:57:47 AM,20
12/28/2022,1:12:47 AM,20
12/28/2022,1:27:47 AM,20
12/28/2022,1:42:47 AM,20
12/28/2022,1:57:47 AM,20
12/28/2022,2:12:47 AM,20
12/28/2022,2:27:47 AM,20
12/28/2022,2:42:47 AM,20
12/28/2022,2:57:47 AM,20
12/28/2022,3:12:47 AM,20
12/28/2022,3:27:47 AM,20
12/28/2022,3:42:47 AM,20
12/28/2022,3:57:47 AM,20
12/28/2022,4:12:47 AM,20
12/28/2022,4:27:47 AM,20
12/28/2022,4:42:47 AM,20
12/28/2022,4:57:47 AM,20
12/28/2022,5:12:47 AM,20
12/28/2022,5:27:47 AM,20
12/28/2022,5:42:47 AM,20
12/28/2022,5:57:47 AM,20
12/28/2022,6:12:47 AM,20
12/28/2022,6:27:47 AM,20
12/28/2022,6:42:47 AM,20
12/28/2022,6:57:47 AM,20
12/28/2022,7:12:47 AM,20
12/28/2022,7:27:47 AM,20
12/28/2022,7:42:47 AM,20
12/28/2022,7:57:47 AM,20
